City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Itarantim,BR,2022-05-18 20:28:53,-15.6597,-40.0656,80.47,61,81,3.38
186,Vysokaya Gora,RU,2022-05-18 20:28:54,55.9128,49.3017,44.78,85,83,4.9
187,Pierre,US,2022-05-18 20:25:00,44.3683,-100.351,77.92,45,75,19.57
188,Cidreira,BR,2022-05-18 20:28:55,-30.1811,-50.2056,60.58,80,100,24.07
189,Port Blair,IN,2022-05-18 20:28:55,11.6667,92.75,80.46,86,100,20.11
190,Bandarbeyla,SO,2022-05-18 20:28:56,9.4942,50.8122,82.38,73,72,23.15
191,Longyearbyen,SJ,2022-05-18 20:28:56,78.2186,15.6401,26.44,80,75,11.5
192,Luena,AO,2022-05-18 20:28:57,-11.7833,19.9167,60.19,62,12,3.22
193,Port Hardy,CA,2022-05-18 20:28:57,50.6996,-127.4199,46.58,87,100,10.36
194,Eureka,US,2022-05-18 20:28:58,40.8021,-124.1637,77.74,56,100,7.0
195,Nome,US,2022-05-18 20:28:58,64.5011,-165.4064,35.17,86,100,7.49
196,Kropotkin,RU,2022-05-18 20:28:59,45.4375,40.5756,55.22,90,79,0.29
197,Hilo,US,2022-05-18 20:28:00,19.7297,-155.09,90.28,69,100,13.8
198,Magnolia,US,2022-05-18 20:29:00,33.2671,-93.2393,83.89,43,100,8.79
199,Laredo,US,2022-05-18 20:29:00,27.5064,-99.5075,100.69,25,0,17.27
200,Abnub,EG,2022-05-18 20:29:01,27.2696,31.1511,82.78,18,0,11.86
201,Avera,US,2022-05-18 20:29:01,33.194,-82.5271,92.37,27,0,7.23
202,Odweyne,SO,2022-05-18 20:29:01,9.4092,45.064,78.67,50,87,16.69
203,Camacari,BR,2022-05-18 20:26:36,-12.6975,-38.3242,83.97,87,56,8.57
204,Tha Maka,TH,2022-05-18 20:29:02,13.9,99.7667,76.64,92,100,6.22
205,Sampit,ID,2022-05-18 20:29:03,-2.5333,112.95,74.26,97,50,1.86
206,Orlik,RU,2022-05-18 20:29:03,52.5178,99.825,49.57,48,13,1.54
207,Saint Anthony,US,2022-05-18 20:29:04,45.0205,-93.218,74.93,55,0,11.5
208,Sambava,MG,2022-05-18 20:29:04,-14.2667,50.1667,71.06,85,33,10.94
209,Pacific Grove,US,2022-05-18 20:28:30,36.6177,-121.9166,78.35,67,0,11.01
210,Mahebourg,MU,2022-05-18 20:29:05,-20.4081,57.7,75.49,69,75,9.22
211,Corinto,GR,2022-05-18 20:29:06,37.9407,22.9573,70.9,83,100,6.35
212,Viedma,AR,2022-05-18 20:29:06,-40.8135,-62.9967,54.18,38,100,13.2
213,Talnakh,RU,2022-05-18 20:29:07,69.4865,88.3972,33.21,97,100,5.12
214,Acari,PE,2022-05-18 20:29:07,-15.4311,-74.6158,76.14,50,9,8.5
215,Tempio Pausania,IT,2022-05-18 20:29:08,40.8974,9.1035,59.92,60,2,3.89
216,Arica,CL,2022-05-18 20:29:08,-18.475,-70.3042,72.95,63,0,11.5
217,Ylivieska,FI,2022-05-18 20:29:09,64.0833,24.55,44.89,81,100,1.41
218,Ahuimanu,US,2022-05-18 20:29:09,21.4447,-157.8378,80.31,75,75,12.66
219,Junin,AR,2022-05-18 20:30:10,-34.5838,-60.9433,51.6,48,0,3.65
220,Imeni Poliny Osipenko,RU,2022-05-18 20:30:10,52.4201,136.4853,39.36,86,100,2.42
221,Saldanha,ZA,2022-05-18 20:30:11,-33.0117,17.9442,59.05,77,100,12.55
222,Odienne,CI,2022-05-18 20:30:12,9.51,-7.5692,81.16,64,81,7.31
223,Leningradskiy,RU,2022-05-18 20:30:12,69.3833,178.4167,34.41,99,100,2.01
224,Hamilton,US,2022-05-18 20:28:05,39.1834,-84.5333,75.83,72,75,4.61
225,Borovichi,RU,2022-05-18 20:30:13,58.3878,33.9155,43.11,75,98,5.53
226,Piranshahr,IR,2022-05-18 20:30:14,36.701,45.1413,53.44,53,2,4.56
227,Neiafu,TO,2022-05-18 20:30:14,-18.65,-173.9833,79.48,73,100,9.22
228,Dingle,PH,2022-05-18 20:30:15,10.9995,122.6711,77.13,89,96,3.24
229,Moses Lake,US,2022-05-18 20:30:15,47.1301,-119.2781,70.48,37,75,11.5
230,Fomboni,KM,2022-05-18 20:30:16,-12.28,43.7425,81.12,72,7,9.42
231,Ribeira Grande,PT,2022-05-18 20:30:16,38.5167,-28.7,61.2,94,75,8.05
232,Areosa,PT,2022-05-18 20:30:16,41.7178,-8.8571,57.07,86,3,6.8
233,Fairbanks,US,2022-05-18 20:30:17,64.8378,-147.7164,57.49,44,40,5.75
234,Marfino,RU,2022-05-18 20:30:17,55.7028,37.3822,49.91,49,0,8.95
235,Fortuna,US,2022-05-18 20:30:18,40.5982,-124.1573,69.93,57,20,14.97
236,Narsaq,GL,2022-05-18 20:30:19,60.9167,-46.05,53.82,76,36,4.81
237,Huejuquilla El Alto,MX,2022-05-18 20:30:19,22.6,-103.8667,90.32,13,95,12.95
238,Didsbury,GB,2022-05-18 20:28:31,53.417,-2.2315,60.57,79,100,11.01
239,Lavrentiya,RU,2022-05-18 20:30:20,65.5833,-171.0,34.14,99,51,7.27
240,Tasiilaq,GL,2022-05-18 20:30:20,65.6145,-37.6368,37.56,95,100,1.43
241,Naze,JP,2022-05-18 20:30:21,28.3667,129.4833,70.72,81,100,13.29
242,Sarkand,KZ,2022-05-18 20:30:21,45.41,79.9186,64.04,49,73,5.79
243,Veraval,IN,2022-05-18 20:30:22,20.9,70.3667,82.0,75,0,12.1
244,Venustiano Carranza,MX,2022-05-18 20:30:22,19.43,-99.0992,82.38,13,20,6.91
245,Mopipi,BW,2022-05-18 20:30:23,-21.1833,24.8833,62.98,51,38,6.29
246,Touros,BR,2022-05-18 20:30:23,-5.1989,-35.4608,79.27,85,8,7.63
247,Saint-Raymond,CA,2022-05-18 20:30:09,45.467,-73.6095,64.81,38,20,21.85
248,Kysyl-Syr,RU,2022-05-18 20:30:24,63.8986,122.7617,38.61,79,4,7.0
249,Qaqortoq,GL,2022-05-18 20:30:24,60.7167,-46.0333,37.04,83,63,6.8
250,Marica,BR,2022-05-18 20:28:16,-22.9194,-42.8186,71.51,52,0,12.46
251,Coos Bay,US,2022-05-18 20:30:25,43.3665,-124.2179,61.0,96,100,14.97
252,Boyolangu,ID,2022-05-18 20:30:26,-8.1181,111.8935,75.69,92,100,2.06
253,Dunedin,NZ,2022-05-18 20:30:03,-45.8742,170.5036,56.8,54,100,3.0
254,Juegang,CN,2022-05-18 20:30:26,32.3174,121.1855,66.94,62,100,8.79
