City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
221,Farafangana,-22.8167,47.8333,69.71,76,96,3.8,MG,2022-05-21 01:11:21,overcast clouds
222,Nuevo San Juan Parangaricutiro,19.4,-102.1333,71.53,43,17,2.77,MX,2022-05-21 01:11:21,few clouds
223,Granville,-33.8333,151.0167,64.38,83,30,5.01,AU,2022-05-21 01:11:22,scattered clouds
224,Shintomi,32.0785,131.4723,61.92,96,100,14.27,JP,2022-05-21 01:11:22,overcast clouds
225,Kavieng,-2.5744,150.7967,84.43,72,36,11.21,PG,2022-05-21 01:11:23,light rain
226,Mitchell,43.7094,-98.0298,49.98,70,100,19.57,US,2022-05-21 01:12:23,overcast clouds
227,Inhambane,-23.865,35.3833,73.94,89,98,12.17,MZ,2022-05-21 01:12:24,overcast clouds
228,Korla,41.7597,86.1469,76.66,16,8,13.13,CN,2022-05-21 01:12:24,clear sky
229,Ostrovnoy,68.0531,39.5131,31.87,68,99,5.35,RU,2022-05-21 01:12:26,overcast clouds
230,Sisimiut,66.9395,-53.6735,37.44,58,100,1.88,GL,2022-05-21 01:12:26,overcast clouds
231,Atambua,-9.1061,124.8925,81.93,56,100,4.18,ID,2022-05-21 01:12:27,overcast clouds
232,Den Helder,52.9599,4.7593,55.38,89,100,21.99,NL,2022-05-21 01:12:27,overcast clouds
233,Lagoa,39.05,-27.9833,62.08,96,100,12.12,PT,2022-05-21 01:12:27,overcast clouds
234,Fairbanks,64.8378,-147.7164,73.6,26,0,4.61,US,2022-05-21 01:10:26,clear sky
235,Road Town,18.4167,-64.6167,80.69,83,40,8.05,VG,2022-05-21 01:12:28,scattered clouds
236,Bognor Regis,50.7821,-0.6798,55.74,94,100,12.77,GB,2022-05-21 01:12:29,overcast clouds
237,Muros,42.7762,-9.0603,65.08,75,52,9.35,ES,2022-05-21 01:12:29,broken clouds
238,Elizabeth City,36.2946,-76.2511,85.03,71,0,8.05,US,2022-05-21 01:12:29,clear sky
239,Komsomolskiy,40.4272,71.7189,63.32,72,61,6.91,UZ,2022-05-21 01:12:30,broken clouds
240,North Bend,43.4065,-124.2243,57.16,87,0,24.16,US,2022-05-21 01:12:30,clear sky
241,Murakami,38.2333,139.4833,70.41,50,100,8.05,JP,2022-05-21 01:12:31,overcast clouds
242,Los Llanos De Aridane,28.6585,-17.9182,65.95,88,40,8.05,ES,2022-05-21 01:12:31,scattered clouds
243,Lavrentiya,65.5833,-171.0,36.16,95,17,8.43,RU,2022-05-21 01:12:32,few clouds
244,Yichang,30.7144,111.2847,73.04,71,100,2.06,CN,2022-05-21 01:12:32,overcast clouds
245,Batticaloa,7.7102,81.6924,81.19,73,10,3.09,LK,2022-05-21 01:12:33,clear sky
246,Mogadishu,2.0371,45.3438,79.56,82,70,15.95,SO,2022-05-21 01:08:49,broken clouds
247,Gamba,-2.65,10.0,75.15,89,97,5.59,GA,2022-05-21 01:12:33,overcast clouds
248,Kutum,14.2,24.6667,76.28,15,0,13.18,SD,2022-05-21 01:12:34,clear sky
249,Kaniama,-7.5667,24.1833,74.41,58,99,2.71,CD,2022-05-21 01:12:34,overcast clouds
250,Beringovskiy,63.05,179.3167,35.15,87,100,6.64,RU,2022-05-21 01:12:35,overcast clouds
251,Khipro,25.8285,69.3772,82.42,74,0,18.01,PK,2022-05-21 01:08:18,clear sky
252,Songjianghe,42.1859,127.479,68.72,41,85,9.22,CN,2022-05-21 01:12:35,overcast clouds
253,Assiniboia,49.6334,-105.9845,40.08,62,100,16.71,CA,2022-05-21 01:12:36,overcast clouds
254,Dunedin,-45.8742,170.5036,50.81,60,100,18.99,NZ,2022-05-21 01:09:46,overcast clouds
255,Progreso,21.2833,-89.6667,93.31,62,23,11.27,MX,2022-05-21 01:12:36,few clouds
256,Aden,12.7794,45.0367,88.18,49,44,2.17,YE,2022-05-21 01:08:56,scattered clouds
257,Paita,-5.0892,-81.1144,66.97,81,22,12.44,PE,2022-05-21 01:12:37,few clouds
258,Guerrero Negro,27.9769,-114.0611,66.94,66,0,16.64,MX,2022-05-21 01:12:37,clear sky
259,Port Blair,11.6667,92.75,83.01,80,100,19.64,IN,2022-05-21 01:12:38,moderate rain
